Codice Fiscale,Codice Fiscale -RegEx
ZXROFH93V32Z661U,ZXROFH93V32Z661U
ZSYAXN21H06M429D,ZSYAXN21H06M429D
ZRKVPH41P56L487V,ZRKVPH41P56L487V
ZRIHUI85Y80F530N,ZRIHUI85Y80F530N
ZHZRFUN8VIEEGP1L,Codice Fiscale non valido
ZGWOKN44D78F153N,ZGWOKN44D78F153N
ZERGQJ25J04Z232E,ZERGQJ25J04Z232E
ZDFBQD89Z49L819V,ZDFBQD89Z49L819V
Z9D69YP555WH23O1,Codice Fiscale non valido
Z11RK0HB7ESIJGUO,Codice Fiscale non valido
YZYWBD02I97V241U,YZYWBD02I97V241U
YZQEHE22N66X751R,YZQEHE22N66X751R
YVW882YZRRUQLWJI,Codice Fiscale non valido
YTSSXB30W61E373D,YTSSXB30W61E373D
YQKPVF72G27S901I,YQKPVF72G27S901I
YPVZND75M67I854T,YPVZND75M67I854T
YPDRNO75O82U793O,YPDRNO75O82U793O
YORSEP51B42V382W,YORSEP51B42V382W
YLQB6K124WTB1007,Codice Fiscale non valido
YBZORR37H77W033T,YBZORR37H77W033T
Y5JE74CJV3K7JSNS,Codice Fiscale non valido
XYEJUH13J52F926L,XYEJUH13J52F926L
XRPNEF86Z11H070H,XRPNEF86Z11H070H
XRIDWJ24I56N964K,XRIDWJ24I56N964K
XNNGQO03U67L648U,XNNGQO03U67L648U
XJZZRV87A83R205G,XJZZRV87A83R205G
XJZEBO90X24A707K,XJZEBO90X24A707K
XEKNMC00H05R707Q,XEKNMC00H05R707Q
XAYWTP81U60A389X,XAYWTP81U60A389X
XAFOIB42Z62O798U,XAFOIB42Z62O798U
WXBIQO03D69M600J,WXBIQO03D69M600J
WWUWWM41N28Y313Y,WWUWWM41N28Y313Y
WTEEEO34L37L033E,WTEEEO34L37L033E
WSRSCT83I96F525G,WSRSCT83I96F525G
WPNMLB43U06M592A,WPNMLB43U06M592A
WJJPHYMQBH45K42Q,Codice Fiscale non valido
WGZVTY00E62P508W,WGZVTY00E62P508W
WDFHHU55A94X010P,WDFHHU55A94X010P
